iter;T;amounts;Components;phases;ellapsed_time;possible_phases;P;Error
0;430;[0.08967186972979238, 0.17727390265453108, 0.2798597236697145, 0.05597027586208647, 0.09354897808006793, 0.1640344346832187, 0.08347812749490674, 0.05616268782568209];18164086843900000;6661076604585215412432153809513014744713767838250691075404231904258309206447408231211360033445683823561035249332757858974531736771847537234188296177451832256060067992135050687098237458990110790811018028983026912022840735510039204021696737822599373288322885772422282932170531679824803950750741987011727880839737999289930841891320148066741383417402459556652761872827848405313618276297736192;13.438566299970262;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
1;2713;[0.21780216569867217, 0.42648142933184324, 0.09295164278982794, 0.052179749286222855, 0.05484855088052527, 0.05184067611208934, 0.05102995912154202, 0.0528658267792771];18164086843900000;60844839774924148238142269859916978064086373405824207296832869094160113496334737671607021358512343444010090013774665309506387959777976279293523148666108818637387561517553551396046118331670207600941204452397499943407520611316168344865762598710004447368319084183345629398573087951786009263841052628683254096342928579146585983539414974930483889096980102035062067081027657373570805740146906918289052215491614072196334137559011704411521024;13.299495599989314;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
2;718;[0.10566681910467296, 0.10264780093722332, 0.4667169572535051, 0.09527204812436237, 0.0739843716676101, 0.05418232345691319, 0.05083061330927121, 0.05069906614644173];18164086843900000;68638998652086875448352632994171448328696518503607617136958641559139365721609853237497752135459237935920800586987383717318750051487665955746738836806110455018263974231713210995322848551520999186607813566677872691504136210252308669915195905407253358132615350046381681994335442129119985260927213076938410390522650924515634161376474377318909127897814121883707298776259737715380204716143161958316194203297822471320131021069607262518633833300778071097344;13.746436899993569;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
0;430;[0.08967186972979238, 0.17727390265453108, 0.2798597236697145, 0.05597027586208647, 0.09354897808006793, 0.1640344346832187, 0.08347812749490674, 0.05616268782568209];18164086843900000;6661076604585215412432153809513014744713767838250691075404231904258309206447408231211360033445683823561035249332757858974531736771847537234188296177451832256060067992135050687098237458990110790811018028983026912022840735510039204021696737822599373288322885772422282932170531679824803950750741987011727880839737999289930841891320148066741383417402459556652761872827848405313618276297736192;13.784136600035708;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
1;2713;[0.21780216569867217, 0.42648142933184324, 0.09295164278982794, 0.052179749286222855, 0.05484855088052527, 0.05184067611208934, 0.05102995912154202, 0.0528658267792771];18164086843900000;60844839774924148238142269859916978064086373405824207296832869094160113496334737671607021358512343444010090013774665309506387959777976279293523148666108818637387561517553551396046118331670207600941204452397499943407520611316168344865762598710004447368319084183345629398573087951786009263841052628683254096342928579146585983539414974930483889096980102035062067081027657373570805740146906918289052215491614072196334137559011704411521024;13.638591700000688;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
2;718;[0.10566681910467296, 0.10264780093722332, 0.4667169572535051, 0.09527204812436237, 0.0739843716676101, 0.05418232345691319, 0.05083061330927121, 0.05069906614644173];18164086843900000;68638998652086875448352632994171448328696518503607617136958641559139365721609853237497752135459237935920800586987383717318750051487665955746738836806110455018263974231713210995322848551520999186607813566677872691504136210252308669915195905407253358132615350046381681994335442129119985260927213076938410390522650924515634161376474377318909127897814121883707298776259737715380204716143161958316194203297822471320131021069607262518633833300778071097344;13.31692589999875;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
3;1850;[0.0999808224831912, 0.21204546485594722, 0.29559348672854086, 0.1784621626786691, 0.05600992819904403, 0.05203995863609957, 0.05059600972745217, 0.05527216669105584];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149467378035629112896304333475537181312636059148432360242873460473131305428684981979437506741937315187732364637839783047992683014654252214801428352038219892493376552159670688736267523732792098117909131670809972673441898050216725622242923358255275073881844519591003025130528580760996849035604139240404710378181429074614260796541765362271141363531726800814080;13.44238399999449;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
4;1485;[0.6411381099244677, 0.05758417716110571, 0.05111162094428336, 0.050065111630322866, 0.05004814213915903, 0.05004840820640479, 0.05000156595594258, 0.05000286403831387];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149459360056319970445214495245627617579611732099053379970460353261980889842055452614276353494107212946053602215468578123414934339323109103503090311510386858806246628317069370828173778527288898842734065719823779619772494116443317797640381894538497083325250192878916349705478399154870001032065442567277596700678560383754386891060510574380805204420523215290368;13.310072899970692;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
5;1393;[0.47374264723344894, 0.1722920171875172, 0.054042509826030885, 0.08338289445788685, 0.06025035279694936, 0.05218861888957263, 0.05312091226948844, 0.05098004733910576];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149459360056319970445214495245627617579611732099053379970460353261980889842055452614276353494107212946053602215468578123414934339323109103503090311510386858806246628317069370828173778527288898842734065719823779619772494116443317797640381894538497083325250192878916349705478399154870001032065442567277596700678560383754386891060510574380805204420523215290368;13.268212699971627;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
6;2921;[0.4633461236410761, 0.09109061944952945, 0.09734923725446548, 0.12580409810129678, 0.051278678278631876, 0.06773465764649804, 0.053095831167152836, 0.050300754461349476];18164086843900000;60844839774924148238142269859916978064086373404491991975915826011673682734432134722664267790862205228929243632923003477868197841632409630751785653006278852051239592520256454916260714823428299555414507394743211366205700407057200876109079904249465641538214788348248838723686882656814809086632955311341513439023099993093668660655798257533207110614942495398637334639025670682153405997589088290592661704165382148904849886607881698814197760;13.709647300012875;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
