iter;T;amounts;Components;phases;ellapsed_time;possible_phases;P;Error
0;2919;[0.08339932044970412, 0.27246514992794985, 0.12346755614104286, 0.0877684483376796, 0.07387107785985612, 0.20482062862105416, 0.07956313016614305, 0.07464468849657041];21427291728907264;60844839774924148238142269859916978064086373404491991975915826011673682734432134714646288481719754139091013723359270405284690822168610426907578157328806806119856417378962370441098516368027172400671582678279255116968452403213272927868695455817299040387801261755686553388803530044023089230411007101935427558565054277323159033900567342506926412629345693693213275385656106821339455434116446029665422390309307855003078285283855575445143552;19.46539670999846;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
1;430;[0.05893916583142111, 0.115591392441081, 0.2016065864310087, 0.05796079090515909, 0.10965129520599455, 0.24496533133385695, 0.11064405127236193, 0.10064138657911673];21427291728907264;68138454987268646583941082940077057546054445083027655966073748951357062273069146362715453367687783140016532074371808733176286475648045019262289849052725628967397948045750056518137383956645855310654179435833332154421419921959363092506546115190666596594704936587172490712682211609349548704808587920131032018278060762075477009974890807235714667405289920665039651462371646229625049486866854734504260796612232959421376317045868545257527491270490564554637359146788622092873344101695784981882569029659117696537946304830089600049120438399270912;19.046607686999778;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
2;2713;[0.1334572124691988, 0.3107900962378802, 0.24406702631633348, 0.05984869110041581, 0.07190705151677709, 0.058316667682133026, 0.054653631175950616, 0.06695962350131096];21427291728907264;60844839774924148238142269859916978064086373404491991975915826011673682734432134714646288481719754139091013723359270405284690822168610426907578157328806806119856417378962370441098516368027172400671582678279255116968452403213272927868695455817299040387801261755686553388803530044023089230411007101935427558565054277323159033900567342506926412629345693693213275385656106821339455434116446029665422390309307855003078285283855575445143552;18.98075165499904;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
3;718;[0.07782375301404437, 0.0790149130500392, 0.3042483099042379, 0.22442431340885238, 0.1424070753144117, 0.06611367118673049, 0.05320019001084068, 0.05276777411084333];21427291728907264;674810573150275710968556550255108348257895092350261142704192820099399813772835944974150619133784886555046757821334617799919462814996983226667025889946648143830824269779185207555664555506653952508923588811468884838513086570037020737789991942306336549969716595164262853518972459779513420402045050806197684802206944716931562718373608593077328236376941860171113835307451115335024783684969918827907146724750751176586817566238437096916849810144556314529528699865333162044778968375560550446947022276767023400090863449679929188234286067201117547526876767927606463325798400;18.8308747939991;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
4;1850;[0.07364005942353745, 0.13795348442212788, 0.238591939848333, 0.31547128751997733, 0.0624197144406923, 0.054215641666935536, 0.051231673719497724, 0.06647619895889872];21427291728907264;60844839774924148238142269859916978064086373404491991975915826011673682734432134714646288481719754139091013723359270405284690822168610426907578157328806806119856417378962370441098516368027172400671582678279255116968452403213272927868695455817299040387801261755686553388803530044023089230411007101935427558565054277323159033900567342506926412629345693693213275385656106821339455434116446029665422390309307855003078285283855575445143552;19.287489614998776;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
5;1485;[0.3455664561982273, 0.30659531630454406, 0.09145104277287126, 0.052427936417897725, 0.05179516397178349, 0.05180508530768314, 0.05005839266261544, 0.05030060636437752];21427291728907264;60844839888256493900639529979947973261525898800284665139948210720040646768560477906449041085768990618715661629578882697036623929851469620755298532441210283343086582100303088894778440157786369427213360379715951091808778855782289003027695554278017016140786441902308581135552740008305024557209060989442387708299200348110943262603870668243015728838986816193338023610445896486189293343270025641213544464141131305161070556996051235030171648;19.210007894998853;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
6;1393;[0.2605460940375654, 0.2550642996610002, 0.0631658806301229, 0.15872334822549222, 0.08338394392322013, 0.057128021027777455, 0.06016436821812592, 0.06182404427669575];21427291728907264;80876664427876757363295499209047856037193994754109253512189053620360495970190431054517833083576514443941461282216427362719044981639611489773688410647380518506201586893243286409354455261517828821651317852009635160529326382755910960519043050530114729053756440868245619838767639173625888992444857175162502313456100397190501036994022089786593500444854550412074346136209448756257591812996043058754308546609544249339589727029178033547314022212406418134720816950533135374745600;19.074542649999785;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
7;2921;[0.25644858752999394, 0.1158845521910807, 0.14728482032459655, 0.227005649330339, 0.05298576573909483, 0.09141114624403063, 0.057228891572942656, 0.0517505870679218];21427291728907264;60844839774924148238142269859916978064086373404491991975915826011673682734432134714646288481719754139091013723359270405284690822168610426907578157328806806119856417378962370441098516368027172400671582678279255116968452403213272927868695455817299040387801261755686553388803530044023089230411007101935427558565054277323159033900567342506926412629345693693213275385656106821339455434116446029665422390309307855003078285283855575445143552;19.43713476099947;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
8;571;[0.11329485307589794, 0.3328729143005163, 0.27245035122659, 0.059875183933475726, 0.06409632108039023, 0.052931781296032654, 0.05409588834232853, 0.050382706744768725];21427291728907264;367081710434888513259523244801668723086902809180065977770271829047135681470797881328576271052949941536605139931228935979978151642387472605992574617745866043021795990519203375814653430878396540370578577076109793872803661648380811872486582384225358770133783053883201185125240325646467194738566954598401580864835562208748351159999876452312290493564841296527851413273731746737446949235644385761553432173995958865345188358887656555958808728199880223768341541202176037991145867769508112891904;19.12906007499987;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
9;1384;[0.0918890958576519, 0.273496694627482, 0.21169318690018712, 0.17917439221819748, 0.06874253629200588, 0.06459071216840101, 0.053769607227890544, 0.056643774708184026];21427291728907264;60844839888256493900639529979947973261525898800284665139948210720040646768560477906449041085768990618715661629578882697036623929851469620755298532441210283343086582100303088894778440157786369427213360379715951091808778855782289003027695554278017016140786441902308581135552740008305024557209060989442387708299200348110943262603870668243015728838986816193338023610445896486189293343270025641213544464141131305161070556996051235030171648;19.451110719001008;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
10;866;[0.20285788810293937, 0.07727282365213817, 0.06413491262742037, 0.08289473910519775, 0.238233812510927, 0.19622246373271213, 0.06620391809668, 0.07217944217198526];21427291728907264;68138454987268646583941082939862050492927973439119516107189049984705027649308509785336598908235690817899419512741668887931315218730461515240592814103016131889647350894394428129027962468831056600278931089905495063458963725839813034878557818129976923029114307146179702061946335312584218803622501965592197666889230442644938841200509909155379855071387942055059634783464290938877934153259713894707403218841727983806447072843818369993284982126142775785565392673330542334720329547988578711268752585969987226884783396531195307518894825071968256;19.198000742999284;438859259229052615004481009103536988420694520570927781827379832219989680569017924745830627683591518988242811148977268462416595653768372498382345911144825428320157390568935749541203328310542291533762933419975037443658420085104217044383142682812304183987098547130082138173311553705359060216548394134460380186054564472842835216552275273409443951654911564583650412233099064486041776589012876676446029516611951501660522017095633647403530365083819013526615366639542557560489681790688501086033994718323109757117391460852144614134899203343317312756172002630335513073996907338717959975045105483392992935936;101325;
