,T**0,T**(-1.0),T,T**2.0,T**3.0,Tlog(T),phase,S1,S2,T**(-9.0),T**4.0,S3,S4,T**7.0,T**(-3.0),T**(-2.0),S5,T**(-5.0),T**(-7.0),Tlog(1.0e-5*P)
0,-31495.0000000000,36411.0000000000,157.890000000000,0.00200100000000000,-1.27200000000000e-6,-27.7440000000000,A15_CR3PT,CR,PT,,,,,,,,,,,
1,-1195.36100000000,,183.871136000000,,,-31.7481920000000,A2_BCC,AL,VA,-1.23062200000000e+28,,,,,,,,,,
2,160000.000000000,,-31.0000000000000,,,,A2_BCC,AL,VA,,,,,,,,,,,
3,3248.24100000000,72527.0000000000,132.652210000000,-0.00265473900000000,-1.73480000000000e-7,-25.0861000000000,A2_BCC,CO,VA,,,,,,,,,,,
4,1450.00000000000,,,,,,A2_BCC,CO,VA,,,,,,,,,,,
5,1.35000000000000,,,,,,A2_BCC,CO,VA,,,,,,,,,,,
6,5370.70300000000,-22590.0000000000,103.836026000000,-0.00420660500000000,8.71923000000000e-7,-22.8995000000000,A2_BCC,HF,VA,,-1.44600000000000e-10,,,,,,,,,
7,25063.7120000000,-20083.0000000000,111.880119000000,-0.00309197600000000,,-22.7944000000000,A2_BCC,IR,VA,,,,,,,,,,,
8,150000.000000000,,,,,,A2_BCC,IR,VA,,,,,,,,,,,
9,,,30.0000000000000,,,,A2_BCC,VA,VA,,,,,,,,,,,
10,-226000.000000000,,32.8950000000000,,,,A2_BCC,AL,VA,,,,,,,,,,,
11,0,,,,,,A2_BCC,AL,VA,,,,,,,,,,,
12,14000.0000000000,,-1.93500000000000,,,,A2_BCC,AL,VA,,,,,,,,,,,
13,-100060.000000000,,21.5064500000000,,,,A2_BCC,CO,VA,,,,,,,,,,,
14,146588.800000000,,,,,,A2_BCC,CO,VA,,,,,,,,,,,
15,150446.400000000,,,,,,A2_BCC,HF,VA,,,,,,,,,,,
16,-87171.9300000000,681858.000000000,470.187526000000,-0.00541257000000000,-7.97269000000000e-7,-90.5816628000000,AG2BA,AG,BA,,,,,,,,,,,
17,-136813.700000000,2093618.00000000,937.759646000000,-0.00907537000000000,-7.97459000000000e-7,-176.359662800000,AG2BA3,AG,BA,,,,,,,,,,,
18,-86326.7700000000,-157596.000000000,309.195732000000,-0.0146857000000000,-7.97174000000000e-7,-64.0064628000000,AG2CA,AG,CA,,,,,,,,,,,
19,-105999.737000000,3699848.00000000,987.786875000000,0.0229148630000000,-3.49598600000000e-6,-183.176125700000,AG2CD3,AG,CD,,,,,,,,,,,
20,-97371.5790000000,,511.107960000000,,,-97.4134000000000,AG2CE,AG,CE,,,,,,,,,,,
21,-40433.8998728000,-8007.72791324960,152.342792969300,0.00436932064783000,-1.43129750528800e-6,-30.5063334998500,AG2DY,AG,DY,,,,,,,,,,,
22,-42971.0106792000,-4814.38640000000,119.778046768300,-0.000861885545900000,-5.83225201000000e-7,-25.3589611219000,AG2ER,AG,ER,,,,,,,,,,,
23,-20728.5360000000,-36033.0000000000,355.506039000000,-0.00537175500000000,-1.19576100000000e-6,-71.5389942000000,AG2GA,AG,AG,,,,,,,,,,,
24,3980.97600000000,-24022.0000000000,237.004026000000,-0.00358117000000000,-7.97174000000000e-7,-47.6926628000000,AG2GA,AG,VA,,,,,,,,,,,
25,-49063.8338000000,-142354.000000000,372.805547400000,-0.00343057000000000,-8.37347000000000e-7,-73.7619534000000,AG2GA,AG,GA,1.64547000000000e+23,,,,,,,,,,
26,6368.88797000000,,-14.8261554000000,,,,AG2GA,AG,AG,,,,,,,,,,,
27,3641.22858000000,,,,,,AG2GA,AG,AG,,,,,,,,,,,
28,-95602.2740000000,-24022.0000000000,339.605017700000,-0.00543342011000000,-1.45838560700000e-6,-72.3524925000000,AG2GD_C11B,AG,GD,,,,,,,,,,,
29,-89361.4370000000,-423470.000000000,304.226156000000,-0.0119528750000000,-1.07854000000000e-7,-64.8586039000000,AG2LA,AG,LA,,,,,,,,,,,
30,-55250.7080000000,10320.0000000000,483.388025000000,0.00616468400000000,-2.50381400000000e-6,-85.8125429000000,AG2NA_C15,AG,NA,1.65071000000000e+23,,,,,,,,,,
31,-101059.156222000,12915835.2130000,638.162312088000,0.0249848068060000,-2.27991046000000e-6,-95.2203998527000,AG2ND_ALPHA,AG,ND,,,,,,,,,,,
32,-100937.156222000,12915835.2130000,638.028312088000,0.0249848068060000,-2.27991046000000e-6,-95.2203998527000,AG2ND_BETA,AG,ND,,,,,,,,,,,
33,-43252.3000000000,-24022.0000000000,347.367000000000,-0.00415447000000000,-1.65652000000000e-6,-72.6059000000000,AG2SC,AG,SC,,,,,,,,,,,
34,-66270.8740000000,,500.023980000000,,,-94.2875000000000,AG2SR,AG,SR,,,,,,,,,,,
35,-102037.830000000,,821.607620000000,,,-158.541300000000,AG2SR3,AG,SR,,,,,,,,,,,
36,-57587.1630000000,-24022.0000000000,373.369907000000,-0.00358117000000000,-7.97174000000000e-7,-80.2522628000000,AG2TE,AG,TE,,,,,,,,,,,
37,-4466.11700000000,-5393510.00000000,6281.17937000000,-0.00576588600000000,1.96288000000000e-7,-70.4877274000000,AG2TE,PB,TE,1.61089600000000e+26,,,,,,,,,,
38,-104137.769740000,-24022.0000000000,352.572130000000,-0.00740235020000000,-8.79708534000000e-7,-71.1868455000000,AG2Y_C11B,AG,Y,,,,,,,,,,,
39,-61834.2056072642,2322658.03000000,1428.69130789667,-0.0281806525000000,-2.47192000000000e-6,-241.091719000000,AG3BE8,AG,BE,,,,,,,,,,,
40,-213297.520000000,-703903.000000000,718.573529000000,-0.0608945050000000,-1.19576100000000e-6,-153.107994200000,AG3CA5,AG,CA,,,,,,,,,,,
41,-85403.6746000000,-272697.000000000,634.670873500000,-0.00507055500000000,-1.27610700000000e-6,-123.677575400000,AG3GA2_B2,AG,GA,3.29094000000000e+23,,,,,,,,,,
42,-17203.0580000000,-12011.0000000000,115.330940000000,-0.00179058500000000,-3.98587000000000e-7,-23.8463310000000,AG3MG,AG,MG,,,,,,,,,,,
43,-122932.590000000,-162892.710000000,500.461320000000,-0.0295241020000000,2.13830000000000e-6,-107.993030000000,AG4CE,AG,CE,,,,,,,,,,,
44,-61909.3000000000,-48044.0000000000,585.411000000000,-0.00773564000000000,-2.45369000000000e-6,-120.299000000000,AG4SC,AG,SC,,,,,,,,,,,
45,-97588.0810000000,,820.883750000000,,,-153.680600000000,AG4SR,AG,SR,,,,,,,,,,,
46,-1675452.10000000,-1887900.00000000,6516.02750000000,-0.384000660000000,2.78708330000000e-5,-1410.55970000000,AG51CE14,AG,CE,,,,,,,,,,,
47,-32554.7419664000,-9423.82686022791,140.284685383400,0.00219034412254000,-1.06599126894400e-6,-28.1504551693000,AG51DY14,AG,DY,,,,,,,,,,,
48,-35362.1430096000,-7360.08320000000,120.225256245400,-0.00119039939420000,-5.17912138000000e-7,-24.8238904822000,AG51ER14,AG,ER,,,,,,,,,,,
49,-2060700.61200000,-612561.000000000,7651.26054680000,-0.117251336540000,-2.95848994980000e-5,-1561.40051720000,AG51GD14,AG,GD,,,,,,,,,,,
50,-1801365.89400000,-6204833.00000000,7009.55948300000,-0.208523705000000,-1.06774570000000e-5,-1456.48607680000,AG51LA14,AG,LA,,,,,,,,,,,
51,-71965.7988100000,8334796.61500000,452.610341240000,0.0154968301300000,-1.61325530000000e-6,-69.9286879085000,AG51ND14,AG,ND,,,,,,,,,,,
52,-1961966.55236000,-612561.000000000,7681.57211900000,-0.144816357800000,-2.14834204760000e-5,-1545.08145920000,AG51Y14,AG,Y,,,,,,,,,,,
53,-120964.020000000,645825.000000000,824.789725000000,-0.0107843250000000,-1.99303000000000e-6,-162.120657000000,AG5BA,AG,BA,,,,,,,,,,,
54,-164134.973000000,-459503.000000000,682.923195000000,-0.0173246300000000,-1.30361500000000e-6,-136.397598100000,AG5LA_C14,AG,LA,,,,,,,,,,,
55,-114697.320000000,,999.829360000000,,,-185.812400000000,AG5SR,AG,SR,,,,,,,,,,,
56,-1042143.10300000,-372341.000000000,6533.84653200000,-0.0555081350000000,-1.23561970000000e-5,-1357.86867340000,AG5TE3,AG,TE,,,,,,,,,,,
57,-19560.8807650000,-7867.20500000000,125.891219485000,-0.00117283317500000,-2.61074485000000e-7,-26.8524090670000,AG655TE345,AG,TE,,,,,,,,,,,
58,-234601.650000000,-351225.000000000,972.993663000000,-0.0347431950000000,-2.79010900000000e-6,-199.551919800000,AG7CA2,AG,CA,,,,,,,,,,,
59,-254402.390000000,-375247.000000000,1209.39512900000,-0.0383243650000000,-3.58728300000000e-6,-247.244582600000,AG9CA2,AG,CA,,,,,,,,,,,
60,-58985.3400000000,693869.000000000,351.986793000000,-0.00362198500000000,-3.98682000000000e-7,-66.7353314000000,AGBA,AG,BA,,,,,,,,,,,
61,-62011.1200000000,-145585.000000000,190.994999000000,-0.0128951350000000,-3.98587000000000e-7,-40.1601314000000,AGCA,AG,CA,,,,,,,,,,,
62,-80292.8800000000,-412733.000000000,336.583531000000,-0.0351042350000000,-3.98587000000000e-7,-72.7877310000000,AGCA3,AG,CA,,,,,,,,,,,
63,-41924.9830000000,1229279.00000000,370.456166000000,0.00704142600000000,-1.29819100000000e-6,-69.0074857000000,AGCD,AG,CD,,,,,,,,,,,
64,-3809.51200000000,-12011.0000000000,117.152013000000,-0.00179058500000000,-3.98587000000000e-7,-23.8463314000000,AGCD_ETA,AG,,,,,,,,,,,,
65,-19064.9710000000,1241290.00000000,256.812233000000,0.00883201100000000,-8.99604000000000e-7,-45.1611543000000,AGCD_ETA,CD,,,,,,,,,,,,
66,-33968.2600000000,,8.04203000000000,,,,AGCD_ETA,AG,,,,,,,,,,,,
67,-4520.66000000000,,,,,,AGCD_ETA,AG,,,,,,,,,,,,
68,2000.00000000000,,,,,,AGCD_ETA,AG,,,,,,,,,,,,
69,-70110.8440000000,,347.463040000000,,,-66.8923000000000,AGCE,AG,CE,,,,,,,,,,,
70,-45474.4200000000,-6005.49131900630,168.811473500000,0.00745019755000000,-1.94780768000000e-6,-33.8373336500000,AGDY,AG,DY,,,,,,,,,,,
71,-49212.3240000000,-1215.00000000000,122.317488500000,-0.000397396500000000,-6.75572000000000e-7,-26.1155029000000,AGER,AG,ER,,,,,,,,,,,
72,-63692.7620000000,-12011.0000000000,214.164004700000,-0.00364283511000000,-1.05979860700000e-6,-48.5061611000000,AGGD_B2,AG,GD,,,,,,,,,,,
73,145.000000000000,,,,,,AGGD_B2,AG,GD,,,,,,,,,,,
74,91.1600000000000,,,,,,AGGD_B2,AG,GD,,,,,,,,,,,
75,-16796.1933400000,-145807.990000000,135.159978250000,-0.000225026150000000,-1.87592610000000e-7,-26.2649433620000,AGIN2,AG,IN,2.36732440000000e+22,,,,,,,,,,
76,-66179.9250000000,-411459.000000000,189.576143000000,-0.0101622900000000,2.90733000000000e-7,-41.0122725000000,AGLA_B2,AG,LA,,,,,,,,,,,
77,0,,,,,,AGMG3,AG,MG,,,,,,,,,,,
78,-135910.179000000,19399169.5000000,895.621381000000,0.0384127060000000,-3.22339700000000e-6,-131.014602350000,AGND,AG,ND,,,,,,,,,,,
79,-88586.4810000000,10637210.0000000,1021.69543000000,0.0875601500000000,-1.15187130000000e-5,-155.706744900000,AGSB_ORTHO,AU,AU,,,,,,,,,,,
80,-2209.51200000000,-12011.0000000000,118.202013000000,-0.00179058500000000,-3.98587000000000e-7,-23.8463314000000,AGSB_ORTHO,AG,AG,,,,,,,,,,,
81,-6738.83000000000,,169.485872000000,,,-31.3800000000000,AGSB_ORTHO,SB,SB,1.61684900000000e+27,,,,,,,,,,
82,-28803.7542500000,2650294.25000000,344.075367250000,0.0205470987500000,-3.17861850000000e-6,-56.8114347750000,AGSB_ORTHO,AG,AU,,,,,,,,,,,
83,-61992.2387500000,7974904.75000000,795.822075750000,0.0652224662500000,-8.73868150000000e-6,-122.741641525000,AGSB_ORTHO,AU,AG,,,,,,,,,,,
84,0,,,,,,AGSB_ORTHO,AG,AG,,,,,,,,,,,
85,0,,,,,,AGSB_ORTHO,AU,AG,,,,,,,,,,,
86,0,,,,,,AGSB_ORTHO,AG,AG,,,,,,,,,,,
87,0,,,,,,AGSB_ORTHO,AG,AU,,,,,,,,,,,
88,-11750.0000000000,,9.15000000000000,,,,AGSB_ORTHO,AG,SB,,,,,,,,,,,
89,-48000.0000000000,,,,,,AGSB_ORTHO,AG,AG,,,,,,,,,,,
90,-35500.0000000000,,9.85850000000000,,,,AGSB_ORTHO,AG,AG,,,,,,,,,,,
91,0,,,,,,AGSB_ORTHO,AG,AU,,,,,,,,,,,
92,0,,,,,,AGSB_ORTHO,AU,AG,,,,,,,,,,,
93,0,,,,,,AGSB_ORTHO,SB,AG,,,,,,,,,,,
94,0,,,,,,AGSB_ORTHO,AG,AU,,,,,,,,,,,
95,0,,,,,,AGSB_ORTHO,AU,AG,,,,,,,,,,,
96,-7297.35000000000,-9008.25000000000,119.844213250000,-0.00134293875000000,-2.98940250000000e-7,-24.6837485500000,AGSB_ORTHO,AG,BI,4.15772500000000e+24,,,,,,,,,,
97,0,,,,,,AGSB_ORTHO,AG,AG,,,,,,,,,,,
98,-500.000000000000,,-0.850000000000000,,,,AGSB_ORTHO,AG,BI,,,,,,,,,,,
99,-8753.68130000000,-9008.25000000000,127.200077750000,-0.00134293875000000,-2.98940250000000e-7,-25.7297485500000,AGSB_ORTHO,AG,SB,4.04212250000000e+26,,,,,,,,,,
100,-194.660700000000,-3002.75000000000,160.487807250000,-0.000447646250000000,-9.96467500000000e-8,-29.4965828500000,AGSB_ORTHO,SB,AG,1.21263675000000e+27,,,,,,,,,,
101,-5788.53980000000,,,,,,AGSB_ORTHO,AG,AG,,,,,,,,,,,
102,10491.7900000000,,,,,,AGSB_ORTHO,AG,SB,,,,,,,,,,,
103,0,,,,,,AGSB_ORTHO,AG,AG,,,,,,,,,,,
104,0,,,,,,AGSB_ORTHO,SB,AG,,,,,,,,,,,
