,T_min,T_max,T**0,T**(-1.0),T,T**2.0,T**3.0,Tlog(T),phase,S1,S2,T**4.0,T**(-9.0),S3,S4,T**(-3.0),T**(-2.0),T**7.0,S5,T**(-5.0),T**(-7.0),Tlog(1.0e-5*P)
0,298.150000000000,1873.00000000000,-31495.0000000000,36411.0000000000,157.890000000000,0.00200100000000000,-1.27200000000000e-6,-27.7440000000000,A15_CR3PT,CR,PT,,,,,,,,,,,
1,,,0,,,,,,A15_CR3PT,CR,PT,,,,,,,,,,,
2,298.150000000000,700.000000000000,2106.85000000000,74092.0000000000,137.093038000000,-0.00188466200000000,-8.77664000000000e-7,-24.3671976000000,A2_BCC,AL,VA,,,,,,,,,,,
3,,,0,,,,,,A2_BCC,AL,VA,,,,,,,,,,,
4,298.150000000000,2900.00000000000,0,,,,,,A2_BCC,AL,VA,,,,,,,,,,,
5,700.000000000000,933.473000000000,-1193.24000000000,74092.0000000000,223.048446000000,0.0185319820000000,-5.76422700000000e-6,-38.5844296000000,A2_BCC,AL,VA,,,,,,,,,,,
6,298.150000000000,6000.00000000000,150000.000000000,,,,,,A2_BCC,AL,VA,,,,,,,,,,,
7,,,0,,,,,,A2_BCC,AL,VA,,,,,,,,,,,
8,298.150000000000,1768.00000000000,3248.24100000000,72527.0000000000,133.366010000000,-0.00265473900000000,-1.73480000000000e-7,-25.0861000000000,A2_BCC,CO,VA,,,,,,,,,,,
9,,,0,,,,,,A2_BCC,CO,VA,,,,,,,,,,,
10,298.150000000000,6000.00000000000,0,,,,,,A2_BCC,CO,VA,,,,,,,,,,,
11,298.150000000000,6000.00000000000,1450.00000000000,,,,,,A2_BCC,CO,VA,,,,,,,,,,,
12,,,0,,,,,,A2_BCC,CO,VA,,,,,,,,,,,
13,298.150000000000,6000.00000000000,1.35000000000000,,,,,,A2_BCC,CO,VA,,,,,,,,,,,
14,,,0,,,,,,A2_BCC,CO,VA,,,,,,,,,,,
15,298.150000000000,2506.00000000000,5370.70300000000,-22590.0000000000,103.836026000000,-0.00420660500000000,8.71923000000000e-7,-22.8995000000000,A2_BCC,HF,VA,-1.44600000000000e-10,,,,,,,,,,
16,,,0,,,,,,A2_BCC,HF,VA,,,,,,,,,,,
17,2506.00000000000,3000.00000000000,1912456.77100000,-610085091.000000,-8624.20573000000,-0.286857065000000,1.34278290000000e-5,1087.61412470000,A2_BCC,HF,VA,,,,,,,,,,,
18,3000.00000000000,3001.00000000000,-32498.1780000000,,276.723247000000,,,-44.0000000000000,A2_BCC,HF,VA,,,,,,,,,,,
